Time,AIR LOOP HVAC 1:DesPer 1:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 1:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 1:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 2:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 2:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 3:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 3:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 3:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 3:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 3:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 4:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 4:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 4:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 4:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 4:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 5:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 5:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 5:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 5:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 5:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 6:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 6:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 6:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 6:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 6:Des Tot Cool Cap [W],AIR LOOP HVAC 1:DesPer 7:Des Heat Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 7:Des Heat Cap [W],AIR LOOP HVAC 1:DesPer 7:Des Cool Mass Flow [kg/s],AIR LOOP HVAC 1:DesPer 7:Des Sens Cool Cap [W],AIR LOOP HVAC 1:DesPer 7:Des Tot Cool Cap [W]
00:10:00,4.508365E-02,0.000000E+00,2.466315E-01,3.646320E+03,5.697511E+03,4.508365E-02,0.000000E+00,1.042178E-01,9.124615E+02,2.974156E+03,4.508365E-02,0.000000E+00,1.323501E-01,1.318360E+03,4.367559E+03,4.508365E-02,0.000000E+00,1.419567E-01,1.471113E+03,4.902921E+03,7.729864E-01,2.136041E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.547407E-01,1.020108E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.424227E-01,1.336276E+04,4.508365E-02,0.000000E+00,0.000000E+00
00:20:00,4.508365E-02,0.000000E+00,2.428913E-01,3.569300E+03,5.588824E+03,4.508365E-02,0.000000E+00,1.004681E-01,8.706467E+02,2.834785E+03,4.508365E-02,0.000000E+00,1.287107E-01,1.270598E+03,4.203865E+03,4.508365E-02,0.000000E+00,1.382400E-01,1.420233E+03,4.726933E+03,7.728937E-01,2.135784E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.546947E-01,1.020023E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.422643E-01,1.335946E+04,4.508365E-02,0.000000E+00,0.000000E+00
00:30:00,4.508365E-02,0.000000E+00,2.390373E-01,3.491288E+03,5.478213E+03,4.508365E-02,0.000000E+00,9.658341E-02,8.283445E+02,2.694178E+03,4.508365E-02,0.000000E+00,1.250605E-01,1.223380E+03,4.042445E+03,4.508365E-02,0.000000E+00,1.344998E-01,1.369779E+03,4.552883E+03,7.728016E-01,2.135530E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.546491E-01,1.019939E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.421067E-01,1.335619E+04,4.508365E-02,0.000000E+00,0.000000E+00
00:40:00,4.508365E-02,0.000000E+00,2.351076E-01,3.412866E+03,5.366581E+03,4.508365E-02,0.000000E+00,9.257253E-02,7.856663E+02,2.552695E+03,4.508365E-02,0.000000E+00,1.213576E-01,1.176303E+03,3.881953E+03,4.508365E-02,0.000000E+00,1.307764E-01,1.320163E+03,4.382132E+03,7.727100E-01,2.135277E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.546038E-01,1.019856E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.419501E-01,1.335293E+04,4.508365E-02,0.000000E+00,0.000000E+00
00:50:00,4.508365E-02,0.000000E+00,2.311343E-01,3.334518E+03,5.254684E+03,4.508365E-02,0.000000E+00,8.850465E-02,7.432269E+02,2.412328E+03,4.508365E-02,0.000000E+00,1.176003E-01,1.129367E+03,3.722378E+03,4.508365E-02,0.000000E+00,1.270693E-01,1.271376E+03,4.214630E+03,7.726191E-01,2.135025E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545589E-01,1.019773E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.417944E-01,1.334969E+04,4.508365E-02,0.000000E+00,0.000000E+00
01:00:00,4.508365E-02,0.000000E+00,2.271467E-01,3.256675E+03,5.143186E+03,4.508365E-02,0.000000E+00,8.443239E-02,7.014787E+02,2.274534E+03,4.508365E-02,0.000000E+00,1.137940E-01,1.082636E+03,3.563928E+03,4.508365E-02,0.000000E+00,1.233214E-01,1.222848E+03,4.048472E+03,7.725286E-01,2.134776E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545143E-01,1.019692E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.416396E-01,1.334647E+04,4.508365E-02,0.000000E+00,0.000000E+00
01:10:00,4.508365E-02,0.000000E+00,2.237134E-01,3.194114E+03,5.051763E+03,4.508365E-02,0.000000E+00,8.086030E-02,6.669802E+02,2.161247E+03,4.508365E-02,0.000000E+00,1.104402E-01,1.044143E+03,3.434397E+03,4.508365E-02,0.000000E+00,1.200534E-01,1.183285E+03,3.914116E+03,7.725360E-01,2.134796E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545185E-01,1.019699E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.416511E-01,1.334671E+04,4.508365E-02,0.000000E+00,0.000000E+00
01:20:00,4.508365E-02,0.000000E+00,2.203266E-01,3.132622E+03,4.961810E+03,4.508365E-02,0.000000E+00,7.735915E-02,6.334885E+02,2.051389E+03,4.508365E-02,0.000000E+00,1.070675E-01,1.005874E+03,3.305833E+03,4.508365E-02,0.000000E+00,1.167797E-01,1.144055E+03,3.781111E+03,7.725432E-01,2.134816E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545225E-01,1.019707E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.416625E-01,1.334695E+04,4.508365E-02,0.000000E+00,0.000000E+00
01:30:00,4.508365E-02,0.000000E+00,2.169907E-01,3.072253E+03,4.873413E+03,4.508365E-02,0.000000E+00,7.396348E-02,6.012718E+02,1.945817E+03,4.508365E-02,0.000000E+00,1.036800E-01,9.678673E+02,3.178362E+03,4.508365E-02,0.000000E+00,1.135012E-01,1.105170E+03,3.649490E+03,7.725504E-01,2.134836E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545265E-01,1.019714E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.416738E-01,1.334718E+04,4.508365E-02,0.000000E+00,0.000000E+00
01:40:00,4.508365E-02,0.000000E+00,2.137111E-01,3.013077E+03,4.786682E+03,4.508365E-02,0.000000E+00,7.066200E-02,5.702201E+02,1.844165E+03,4.508365E-02,0.000000E+00,1.003387E-01,9.306929E+02,3.053845E+03,4.508365E-02,0.000000E+00,1.102143E-01,1.066594E+03,3.519135E+03,7.725574E-01,2.134855E+04,4.508365E-02,0.000000E+00,0.000000E+00,5.545305E-01,1.019721E+04,4.508365E-02,0.000000E+00,0.000000E+00,6.416850E-01,1.334742E+04,4.508365E-02,0.000000E+00,0.000000E+00
