Time,ZONE_0:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_0:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_0:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_0:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_0::Des Latent Heat Load [W],ZONE_0::Des Latent Cool Load [W],ZONE_0::Des Latent Heat Mass Flow [kg/s],ZONE_0::Des Latent Cool Mass Flow [kg/s],ZONE_0::Des Heat Load No DOAS [W],ZONE_0::Des Sens Cool Load No DOAS [W],ZONE_0::Des Latent Heat Load No DOAS [W],ZONE_0::Des Latent Cool Load No DOAS [W],ZONE_0:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_0:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_0:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_0:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%],ZONE_1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE_1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE_1:BEIJING ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE_1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],ZONE_1::Des Latent Heat Load [W],ZONE_1::Des Latent Cool Load [W],ZONE_1::Des Latent Heat Mass Flow [kg/s],ZONE_1::Des Latent Cool Mass Flow [kg/s],ZONE_1::Des Heat Load No DOAS [W],ZONE_1::Des Sens Cool Load No DOAS [W],ZONE_1::Des Latent Heat Load No DOAS [W],ZONE_1::Des Latent Cool Load No DOAS [W],ZONE_1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],ZONE_1:BEIJING ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],ZONE_1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],ZONE_1:BEIJING ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
00:10:00,5.994898E+03,1.405491E+03,3.092774E-01,1.084522E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621356E+01,2.669744E+01,4.271390E+01,5.991685E+03,1.373841E+03,3.091117E-01,1.060100E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621100E+01,2.669744E+01,4.277554E+01
00:20:00,5.994186E+03,1.383907E+03,3.092407E-01,1.067868E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621360E+01,2.669745E+01,4.273605E+01,5.990960E+03,1.353274E+03,3.090743E-01,1.044230E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621105E+01,2.669745E+01,4.279748E+01
00:30:00,5.993479E+03,1.361682E+03,3.092042E-01,1.050718E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621365E+01,2.669747E+01,4.275357E+01,5.990239E+03,1.332068E+03,3.090371E-01,1.027867E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621110E+01,2.669747E+01,4.281463E+01
00:40:00,5.992775E+03,1.339032E+03,3.091679E-01,1.033240E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621370E+01,2.669748E+01,4.277690E+01,5.989522E+03,1.310435E+03,3.090001E-01,1.011173E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621114E+01,2.669748E+01,4.283747E+01
00:50:00,5.992077E+03,1.316138E+03,3.091319E-01,1.015574E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621374E+01,2.669750E+01,4.280836E+01,5.988810E+03,1.288556E+03,3.089634E-01,9.942901E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621119E+01,2.669750E+01,4.286839E+01
01:00:00,5.991382E+03,1.293159E+03,3.090961E-01,9.978419E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621378E+01,2.669751E+01,4.284607E+01,5.988103E+03,1.266599E+03,3.089269E-01,9.773466E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621123E+01,2.669750E+01,4.290554E+01
01:10:00,5.991439E+03,1.273429E+03,3.090990E-01,9.826162E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621383E+01,2.669751E+01,4.288758E+01,5.988160E+03,1.247641E+03,3.089298E-01,9.627181E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621128E+01,2.669749E+01,4.294651E+01
01:20:00,5.991495E+03,1.253989E+03,3.091018E-01,9.676155E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621387E+01,2.669749E+01,4.293046E+01,5.988216E+03,1.228916E+03,3.089327E-01,9.482684E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621132E+01,2.669751E+01,4.298871E+01
01:30:00,5.991550E+03,1.234858E+03,3.091047E-01,9.528526E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621391E+01,2.669751E+01,4.297350E+01,5.988272E+03,1.210456E+03,3.089356E-01,9.340230E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621136E+01,2.669752E+01,4.303134E+01
01:40:00,5.991604E+03,1.216061E+03,3.091075E-01,9.383481E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621395E+01,2.669753E+01,4.301681E+01,5.988327E+03,1.192295E+03,3.089384E-01,9.200089E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.099113E+01,4.621141E+01,2.669754E+01,4.307440E+01
